"","FTA","2PA","3PA"
"345",5.2,11.3,3.3
"346",2.1,8,3.4
"347",2.5,7.2,2.5
"348",1.3,8.2,0.3
"349",2.7,5.8,6.2
"350",2.5,10,4.5
"351",1.2,5.7,5
"352",1.7,6.1,3.9
"353",2.8,8.6,5
"354",2.6,7.5,0.1
"355",4.2,10.7,0
"356",2.4,6.6,0.5
"357",0.8,2.5,12.3
"358",4.3,11.7,5.2
"359",6.5,15.7,0.2
"360",1.7,8.7,0
"361",2.8,11.7,1
"362",4.4,17.5,0.1
"363",3.7,10.4,4.3
"364",3.3,8.9,5.4
"365",2.6,7.1,4.2
"366",5,8.4,0.1
"367",1.7,4.2,3.9
"368",3.4,12.9,0.5
"369",3.1,11.7,1.2
"370",2.7,8,5
"371",2,2.8,4.5
"372",0.6,3.6,5.2
"373",4.9,11.7,4.9
"374",1.9,8.4,2.4
"375",1.2,8.6,5.7
"376",3.2,10.7,1.5
"377",1.9,4.5,7.1
"378",0.9,10.1,0.9
"379",5.8,8.9,0.1
"380",2,7.1,4.2
"381",2.2,12.5,1.7
"382",4.2,11.3,4.3
"383",5.2,10.2,0.6
"384",2.6,7,4.4
"385",2.2,5.7,1.6
"386",3.8,8.9,2.8
"387",3.2,7.6,2.3
"388",1.2,3.2,5.8
"389",0.3,2.3,4.2
"390",0.5,5.1,0.6
"391",4.3,12.6,0.6
"392",3.9,15.7,0.5
"393",3.5,7.9,7.2
"394",2,5.1,3.7
"395",2.9,8.1,4.5
"396",1.3,4,2.4
"397",2.6,9.2,3.9
"398",4,9.5,2.9
"399",3.6,9.4,3.2
"400",2.8,8.1,2.6
"401",4.3,11.4,0
"402",2.1,8.7,2.4
"403",3.1,15.4,2.6
"404",1.3,5.9,7
"405",1.2,9.1,3.1
"406",4.9,6.1,2.9
"407",1,1.6,6.5
"408",1,3.5,5.4
"409",3,9.3,5.9
"410",1.9,6.6,2.2
"411",5.1,8.8,1.8
"412",3.8,7.9,2
"413",4,12,5.3
"414",1.8,9.6,3.5
"415",2,6.8,5
"416",2,5.1,2.5
"417",1.6,13.9,0.1
"418",6.1,10.4,2.4
"419",1.4,4.3,4
"420",4.1,8.6,2.1
"421",1.6,4.6,3.6
"422",2.8,6.9,2.7
"423",3.6,6.2,5.2
"424",3,13.4,3
"425",2.5,11.4,1.9
"426",2.8,12.8,2.7
"427",1.1,5.2,7.8
"428",2,14.8,0.5
"429",2.1,7.2,7.3
"430",3.3,9.6,4.5
"431",2.7,8.4,5.9
"432",7.1,9.3,2.7
"433",0.9,5.1,4.3
"434",4.9,17,2.7
"435",3,9.5,0.1
"436",2.3,4.4,6.5
"437",4.2,14.4,1.6
"438",1.6,6.3,2.5
"439",2.9,10.4,2
"440",4.5,10.2,2.3
"441",3,13.2,1.9
"442",5,11.4,4.4
"443",3.3,6.8,9.8
"444",2.3,4.6,4.8
"445",0.9,3.3,7.5
"446",7.4,12.5,6.3
"447",3.3,7.5,3
"448",1.6,4.8,6.6
"449",2.7,6.3,1.8
"450",4.1,7.1,1.1
"451",3,9.9,8.8
"452",3.4,8.5,8.7
"453",2.4,8.9,8.8
"454",2.6,8.8,8.8
"455",1.3,1.6,7.3
"456",2,3.5,4.7
"457",3.8,14.6,1.2
"458",2,5.3,2.9
"459",2.8,10.6,1.3
"460",3.2,13.6,0.4
"461",1,7.3,2
"462",0.9,10.5,3.3
"463",1,7.8,2.2
"464",2.4,8.7,0.1
"465",3.6,8.9,0.1
"466",2,5.1,5.7
"467",0.5,4.3,5.3
"468",1.3,8.4,9.3
"469",1.6,7.1,1.4
"470",2.7,18.3,0.2
"471",1.5,5.3,5.7
"472",6.5,18.2,0.7
"473",2.6,7.8,4
"474",5.5,10.5,6.1
"475",4.4,13.2,4.2
"476",2.2,12.5,2.4
"477",2.1,4.9,2.6
"478",0.9,7.2,1.1
"479",0.9,7.2,1.1
"480",0.9,5.5,4.2
"481",1.1,4.9,2.7
"482",2.1,11.3,0.2
"483",7.5,14.4,4.5
"484",1.8,7.9,1.8
"485",7.1,14,2.4
"486",2.6,9.3,5
"487",3.5,8.4,4.8
"488",6.4,10.4,3.8
"489",3.2,4.8,3.2
"490",8,7,6
"491",2.2,5.7,5.8
"492",2,9.6,4.9
"493",1.9,5.6,1.9
"494",3.2,8.8,0.1
"495",5.2,10.4,2.7
"496",3.5,5.7,5.1
"497",5.5,10.5,2
"498",9.2,12,4.2
"499",0.7,1.8,4.7
"500",2.3,11.5,4.3
"501",2.6,4.7,8.3
"502",2.4,14,0.4
"503",4.7,8.7,0.2
